"inventarnyi_nomer","id_katalognoi"
"03:0001090857","1450015"
"03:0001128723","1450015"
"03:0001786625","1450015"
"03:0000464329","1450015"
"07:0000154907","1450018"
"11:0000094869","1450026"
"09:0000287991","1450032"
"07:0000546361","1450046"
"06:0000834910","1450050"
"06:0000834947","1450068"
"09:0000288068","1450073"
"09:0000517784","1450079"
"09:0000630015","1450081"
"06:0000929559","1450104"
"09:0000330304","1450111"
"06:0000835060","1450112"
"09:0000288244","1450154"
"09:0000288285","1450189"
"09:0000288312","1450199"
"09:0000624815","1450200"
"09:0000912579","1450200"
"09:0000666001","1450212"
"05:0000964397","1450224"
"06:0000835270","1450225"
"06:0000835279","1450228"
"09:0000288384","1450232"
"09:0000288418","1450243"
"01:0001324756","1450249"
"04:0000871046","1450249"
"07:0000802527","1450255"
"09:0000725914","1450255"
"06:0000835334","1450257"
"06:0000835344","1450265"
"08:0001237099","1450280"
"09:0000907612","1450283"
"06:0000920281","1450283"
"01:0001855065","1450292"
"06:0000835391","1450301"
"03:0000984756","1450304"
"09:0000288557","1450311"
"01:0001658697","1450324"
"01:0001560776","1450324"
"03:0001509324","1450324"
"02:0000663982","1450324"
"09:0000288603","1450356"
"07:0000940251","1450367"
"08:0001110140","1450367"
"09:0000658121","1450370"
"02:0001170256","1450374"
"04:0000864355","1450374"
"06:0000835455","1450385"
"06:0000983146","1450404"
"01:0001755950","1450405"
"02:0000454996","1450405"
"07:0000622244","1450432"
"04:0000952490","1450436"
"08:0001050620","1450446"
"06:0000835554","1450446"
"06:0000866975","1450475"
"07:0000060120","1450476"
"09:0000289302","1450494"
"09:0000441301","1450500"
"07:0000725105","1450510"
"09:0000288929","1450512"
"06:0000497778","1450527"
"06:0000142393","1450527"
"05:0000385427","1450527"
"05:0000098616","1450527"
"09:0000436473","1450530"
"03:0001856049","1450538"
"09:0000289186","1450542"
"04:0000102681","1450549"
"Б05:00001952","1450549"
"09:0000289007","1450560"
"09:0000289010","1450561"
"09:0000744812","1450565"
"05:0000911986","1450567"
"06:0000998288","1450572"
"09:0000289066","1450583"
"01:0001855313","1450585"
"09:0000289077","1450586"
"01:0000817607","1450599"
"01:0000423925","1450599"
"09:0000743226","1450668"
"05:0000173226","1450690"
"05:0000170375","1450690"
"07:0000074587","1450690"
"09:0000289398","1450693"
"04:0000056478","1450698"
"09:0000289475","1450707"
"09:0000889530","1450708"
"01:0000677412","1450708"
"06:0000090366","1450708"
"01:0000359386","1450708"
"01:0000892797","1450708"
"08:0000212499","1450708"
"06:0000905672","1450711"
"09:0000289497","1450715"
"09:0000289625","1450741"
"09:0000289596","1450741"
"01:0001855408","1450750"
"08:0001028111","1450751"
"09:0000289766","1450795"
"09:0000289783","1450798"
"09:0000289787","1450799"
"08:0000027526","1450806"
"06:0001020227","1450807"
"07:0000999184","1450815"
"09:0000289919","1450837"
"03:0000502695","1450838"
"06:0000835651","1450850"
"09:0000588916","1450863"
"04:0000035151","1450869"
"02:0000203965","1450869"
"10:0000096004","1450869"
"07:0000600315","1450875"
"09:0000290000","1450881"
"09:0000587907","1450885"
"09:0000290030","1450896"
"07:0000368359","1450901"
"02:0000562261","1450901"
"09:0000396324","1450913"
"09:0000290139","1450951"
"01:0001855479","1450975"
"09:0000527911","1450977"
"09:0000290254","1450984"
"Б05:00007539","1450991"
"08:0000927910","1451001"
"02:0001430601","1451003"
"08:0000927913","1451014"
"05:0000912178","1451017"
"06:0000835688","1451025"
"09:0000786309","1451031"
"09:0000290348","1451037"
"06:0000835692","1451040"
"01:0001917503","1451040"
"06:0000929347","1451044"
"06:0001064334","1451044"
"09:0000563967","1451053"
"07:0000917482","1451062"
"08:0001272885","1451066"
"09:0000290412","1451075"
"07:0000506134","1451078"
"07:0000506143","1451084"
"03:0001841330","1451090"
"09:0000290457","1451093"
"07:0000506158","1451094"
"02:0000477053","1451097"
"07:0000701339","1451099"
"Б06:00035612","1451103"
"01:0001855532","1451105"
"09:0000290479","1451111"
"09:0000290492","1451121"
"10:0000326315","1451129"
"07:0000918505","1451155"
"07:0000506200","1451158"
"06:0000835746","1451174"
"05:0000501546","1451191"
"06:0000835769","1451206"
"09:0000906431","1451239"
"09:0000502733","1451286"
"01:0000610349","1451292"
"01:0001753593","1451292"
"03:0000482615","1451292"
"03:0000397220","1451292"
"09:0000084157","1451292"
"Б06:00035648","1451302"
"05:0000912425","1451305"
"09:0000278084","1451310"
"08:0001109929","1451344"
"Б06:00035657","1451347"
"03:0001841344","1451353"
"09:0000889507","1451358"
"02:0001430566","1451367"
"01:0001855648","1451375"
"06:0000835853","1451390"
"07:0000506404","1451396"
"06:0000835927","1451420"
"02:0000083013","1451433"
"Б05:00018323","1451433"
"07:0000506494","1451435"
"01:0001855677","1451439"
"07:0000506514","1451444"
"06:0000151778","1451449"
"03:0001803642","1451449"
"07:0000228708","1451449"
"09:0000305434","1451454"
"02:0000229894","1451457"
"07:0000604404","1451457"
"09:0000073074","1451457"
"09:0000694545","1451457"
"01:0001855687","1451457"
"07:0000270530","1451465"
"07:0000661242","1451466"
"Б05:00013560","1451470"
"09:0000291350","1451474"
"07:0000570667","1451487"
"09:0000438336","1451514"
"01:0001855699","1451519"
"07:0000115814","1451545"
"07:0000065878","1451545"
"04:0001002782","1451548"
"07:0000852206","1451550"
"07:0000572540","1451550"
"07:0001109289","1451552"
"07:0000708079","1451552"
"07:0001109313","1451554"
"07:0000693021","1451568"
"09:0000291620","1451569"
"05:0000912571","1451579"
"09:0000291709","1451608"
"07:0000506897","1451620"
"06:0000835950","1451631"
"08:0000987557","1451651"
"08:0000928034","1451651"
"Б05:00028152","1451659"
"02:0000936853","1451659"
"07:0000105792","1451664"
"05:0000130787","1451664"
"01:0001855711","1451664"
"05:0000912636","1451671"
"05:0000912641","1451683"
"07:0000507015","1451689"
"09:0000700765","1451696"
"05:0000912666","1451711"
"09:0000292091","1451752"
"08:0000928100","1451760"
"09:0000292176","1451775"
"09:0000292201","1451790"
"03:0001716805","1451802"
"09:0000882337","1451820"
"06:0000836007","1451823"
"07:0000703606","1451860"
"04:0001002903","1451874"
"07:0000589647","1451890"
"07:0000867812","1451896"
"09:0000292405","1451903"
"09:0000292636","1451924"
"08:0001027521","1451942"
"02:0000629398","1451946"
"02:0000188333","1451946"
"Б05:00012914","1451951"
"Б05:00013644","1451951"
"08:0000928226","1451986"
"09:0000292569","1451988"
"01:0001855791","1452011"
"05:0000016076","1452011"
"09:0000292678","1452027"
"07:0000507920","1452037"
"07:0000507927","1452042"
"06:0000943851","1452051"
"07:0000298964","1452054"
"05:0000859984","1452054"
"09:0000292741","1452067"
"07:0000508042","1452083"
