"id_chitatelya","inventarnyi_nomer"
"3663","03:0000020317"
"825","03:0000020317"
"12085","03:0000327711"
"3663","03:0000020317"
"825","03:0000020317"
"12085","03:0000327711"
"142372","04:0000056478"
"184295","05:0000174576"
"184450","05:0000075752"
"168311","01:0000984853"
"71964","02:0000773594"
"164003","05:0000066803"
"185076","02:0000205548"
"186079","05:0000130787"
"175431","05:0000115892"
"175707","01:0000245404"
"82104","03:0000502695"
"164675","08:0000237283"
"79999","02:0000077840"
"247412","05:0000039018"
"225185","05:0000188265"
"43611","02:0000840976"
"229698","06:0000114914"
"219779","05:0000066803"
"230732","04:0000298765"
"252234","Б05:00020730"
"87030","01:0000440663"
"48504","02:0000241956"
"216406","06:0000151778"
"230446","08:0000157555"
"227179","05:0000181057"
"50041","03:0000502695"
"304685","05:0000396855"
"291466","Б05:00013560"
"359374","09:0000068889"
"12023","03:0001825647"
"361708","07:0000298964"
"71964","02:0000773594"
"385782","09:0000068889"
"403482","07:0000471451"
"403599","07:0000270530"
"294840","06:0000114914"
"71964","02:0000773594"
"403973","09:0000240309"
"403971","09:0000240309"
"361708","07:0000298964"
"329099","07:0000228708"
"370195","05:0000936151"
"339673","09:0000384819"
"363258","09:0000381257"
"371810","09:0000325840"
"371810","09:0000325853"
"375204","09:0000380960"
"333939","Б09:00012630"
"333939","Б09:00012632"
"333424","Б09:00012633"
"397926","09:0000386425"
"408440","Б07:00015257"
"435819","09:0000387447"
"332549","Б09:00012631"
"124507","08:0000954902"
"336604","Б09:00012631"
"363769","09:0000289007"
"397926","09:0000386425"
"436570","09:0000296516"
"354100","Б09:00012633"
"354100","Б09:00012632"
"436508","09:0000294379"
"173208","Б09:00012316"
"173208","Б09:00012313"
"358685","Б09:00012630"
"358685","Б09:00012631"
"285673","08:0000027526"
"436826","09:0000362581"
"366223","06:0000883960"
"366223","06:0000883960"
"403904","09:0000392417"
"409294","09:0000229580"
"437294","Б07:00015829"
"388480","05:0000137433"
"347506","09:0000243774"
"164766","09:0000295051"
"418438","09:0000525720"
"379040","09:0000243774"
"332957","Б09:00012316"
"436666","06:0000114914"
"355675","Б09:00012631"
"355675","Б09:00012632"
"374092","Б09:00012630"
"374092","Б09:00012633"
"349631","Б09:00012632"
"349631","Б09:00012631"
"359451","09:0000290669"
"64333","Б05:00007539"
"197753","Б05:00007539"
"378056","Б05:00007539"
"178636","Б05:00007539"
"449153","09:0000364117"
"425164","09:0000310505"
"425164","09:0000310611"
"465578","09:0000443365"
"448006","09:0000331809"
"448011","09:0000331809"
"448018","09:0000331809"
"450408","09:0000331809"
"450418","09:0000331809"
"2740","09:0000327204"
"398625","09:0000357389"
"185929","04:0001006658"
"404045","02:0000408342"
"462214","09:0000298727"
"462209","09:0000298695"
"451148","09:0000447744"
"449985","09:0000297929"
"417209","06:0000875828"
"383116","09:0000576027"
"429163","09:0000573633"
"369985","09:0000329188"
"462432","08:0001138046"
"426396","09:0000339902"
"454761","09:0000309639"
"136480","08:0000940942"
"136480","08:0000944101"
"436617","09:0000332026"
"315201","07:0000536496"
"443823","09:0000310505"
"59338","02:0000107276"
"334820","07:0000818244"
"101952","04:0000100375"
"215054","05:0000456083"
"53398","02:0000840976"
"498552","02:0001436608"
"244806","08:0000928819"
"440132","05:0000941025"
"237315","06:0000108939"
"501600","09:0000793919"
"153108","08:0000928819"
"439187","09:0000434324"
"300064","07:0000107288"
"183387","03:0000206418"
"429165","09:0000590889"
"501183","09:0000310382"
"525551","09:0000288603"
"478879","03:0000546482"
"495987","09:0000310357"
"431198","07:0000837614"
"270917","05:0000066803"
"442734","09:0000621356"
"392628","09:0000592871"
"414753","09:0000327297"
"139960","08:0000500133"
"376314","09:0000330910"
"306441","05:0000927577"
"106272","04:0000102681"
"471985","08:0000327755"
"38623","02:0000093483"
"379262","09:0000349099"
"63153","03:0001857530"
"416055","06:0000879556"
"98766","04:0000082167"
"285998","06:0000853795"
"403828","06:0000862676"
"288910","06:0000853858"
"252411","06:0000862763"
"252411","06:0000862845"
"278326","06:0000863406"
"415738","05:0000043756"
"168940","05:0000927577"
"263725","03:0000484872"
"358812","09:0000330204"
"518835","09:0000362581"
"453039","09:0000359235"
"424495","Б07:00029540"
"346307","06:0001132404"
"346307","06:0001132404"
"346307","06:0001132404"
"346307","06:0001132404"
"346307","06:0001132404"
"346307","06:0001132404"
"540735","15:0000021829"
"430759","07:0000566887"
"281067","08:0000940991"
"270794","04:0001012097"
"405846","Б07:00015257"
"371751","09:0000378540"
"371912","09:0000378509"
"557164","09:0000588916"
"468549","09:0000720645"
"86778","01:0001855687"
"38623","02:0000093483"
"467655","19:0000004947"
"549280","Б07:00029540"
"539466","09:0000297385"
"333073","07:0001018436"
"1663","03:0000056453"
"11618","03:0000510440"
"14635","03:0000521306"
"14416","03:0000283856"
"1663","03:0000056453"
"11618","03:0000510440"
"14635","03:0000521306"
"14416","03:0000283856"
"182966","01:0000274736"
"5518","03:0000166904"
"184959","05:0000177238"
"144962","08:0000108847"
"25193","10:0000021196"
"13585","03:0001152664"
"83845","04:0000068953"
"25763","03:0000521306"
"187769","08:0000156543"
"248011","05:0000280458"
"249018","03:0001070078"
"92637","04:0000051342"
"214067","06:0000261490"
"231270","06:0000261490"
"60963","02:0000170087"
"197768","08:0000146930"
"4049","03:0000006064"
"233493","06:0000071751"
"73295","01:0000256195"
"175170","02:0000567741"
"278699","06:0000126044"
"86146","04:0000140002"
"123784","08:0000580848"
"343905","09:0000074794"
"285141","11:0000008479"
"259021","06:0000071751"
