"id_org";"metro_new"
10902;Щукинская
2;Краснопресненская
2;Улица 1905 года
3;Красные ворота
4;Курская 
6;Курская 
173189;Лубянка
6;Курская 
6;Чкаловская
9;Крестьянская застава
10;Рижская
12;Серпуховская
13;Улица 1905 года
14;Марксистская
15;Парк культуры 
16;Проспект Мира 
16;Сухаревская
17;Новослободская
17;Менделеевская
19;Курская 
34;Войковская
20;Смоленская 
22;Красносельская
23;Рижская
24;Краснопресненская
24;Улица 1905 года
25;Полянка
26;Кропоткинская
28;Парк культуры 
29;Новокузнецкая
29;Третьяковская 
30;Баррикадная
30;Краснопресненская
31;Сокол
32;Речной вокзал
33;Селигерская
34;Петровско-Разумовская
35;Петровско-Разумовская
36;Тимирязевская
36;Тимирязевская
38;Войковская
38;Октябрьское поле
38;Сокол
39;Водный стадион
40;Петровско-Разумовская
41;Алтуфьево
41;Петровско-Разумовская
42;Ховрино
43;Бабушкинская
44;Отрадное
45;Алексеевская
46;Бабушкинская
48;Бабушкинская
48;Ботанический сад
48;ВДНХ
49;Тимирязевская
50;Свиблово
51;Улица академика Королёва
52;Марьина Роща
53;Алтуфьево
54;Тимирязевская
55;Свиблово
58;ВДНХ
58;Преображенская площадь
58;Бульвар Рокоссовского
59;Первомайская
64;Новогиреево
67;Новокосино
72;Первомайская
76;Авиамоторная
76;Бауманская
77;Лермонтовский проспект
78;Выхино
78;Рязанский проспект
79;Кузьминки
80;Братиславская
82;Автозаводская
82;Коломенская
82;Кожуховская
83;Печатники
84;Братиславская
85;Текстильщики
86;Авиамоторная
87;Добрынинская
87;Тульская
87;Шаболовская
88;Кантемировская
88;Царицыно
89;Борисово
90;Пражская
90;Царицыно
90;Орехово
91;Пролетарская
92;Каширская 
93;Коломенская
94;Чертановская
95;Южная
96;Каширская 
97;Борисово
97;Домодедовская
97;Орехово
99;Новоясеневская
100;Улица Скобелевская
101;Ленинский проспект
102;Нахимовский проспект
103;Беляево
104;Теплый Стан
104;Тропарёво
105;Калужская
105;Каховская
105;Новые Черемушки
106;Университет
107;Университет
108;Филевский парк
109;Проспект Вернадского
109;Юго-Западная
110;Крылатское
110;Молодежная
111;Фили
112;Кунцевская 
89876;Тверская
113;Кутузовская
114;Проспект Вернадского
115;Юго-Западная
116;Юго-Западная
117;Солнцево
118;Проспект Вернадского
119;Юго-Западная
120;Молодежная
121;Беляево
121;Проспект Вернадского
121;Юго-Западная
122;Филевский парк
123;Кунцевская 
125;Октябрьское поле
126;Митино
126;Сходненская
126;Пятницкое шоссе
127;Сходненская
108077;Пятницкое шоссе
801;Бульвар Дмитрия Донского
128;Щукинская
129;Тушинская
130;Октябрьское поле
130;Полежаевская
130;Щукинская
131;Полежаевская
131;Хорошёво
132;Строгино
133;Строгино
134;Крылатское
134;Октябрьское поле
134;Полежаевская
134;Молодежная
135;Тушинская
137;Щукинская
138;Пятницкое шоссе
138;Речной вокзал
140;Речной вокзал
141;Митино
141;Речной вокзал
142;Митино
142;Планерная
149;Саларьево
154;Теплый Стан
161;Выхино
10836;Алма-Атинская
161;Новогиреево
161;Рязанский проспект
162;Сокольники
802;Киевская 
803;Академическая
803;Профсоюзная
803;Университет
804;Бауманская
1429;Чертановская
1800;Пражская
4873;Текстильщики
10893;Алтуфьево
10893;Бибирево
10921;Юго-Западная
20879;Проспект Вернадского
20879;Университет
20883;Кузьминки
20884;Спортивная
20885;Нагорная
20911;Бабушкинская
20912;Кантемировская
21342;Маяковская
21371;Петровско-Разумовская
21371;Окружная
21418;Войковская
22863;Кропоткинская
23028;Курская 
89239;Люблино
89440;Войковская
89440;Щукинская
89744;Бабушкинская
89753;Багратионовская
89753;Филевский парк
89767;Новые Черемушки
89770;Нахимовский проспект
89787;Красные ворота
89858;Красносельская
89858;Сокольники
89858;Электрозаводская
89865;Улица 1905 года
89868;Китай-город 
89868;Площадь Революции
89868;Китай-город 
89876;Пушкинская
89876;Чеховская
89958;Алексеевская
89958;ВДНХ
89958;Рижская
89976;Алтуфьево
89978;Перово
89981;Багратионовская
89983;Арбатская 
89986;Бауманская
89989;ВДНХ
89989;Улица Сергея Эйзенштейна
89993;Перово
10837;Сходненская
89996;Павелецкая 
89996;Третьяковская 
89996;Новокузнецкая
89999;Сретенский бульвар
