"id_organization","merge_column","id_yslugi"
30,"30_Архитектура",39178
30,"30_Архитектура",39181
30,"30_Архитектура",212072
30,"30_Архитектура",212517
45,"45_Декоративно-прикладное искусство",39913
45,"45_Декоративно-прикладное искусство",39944
54,"54_Декоративно-прикладное искусство",40297
54,"54_Декоративно-прикладное искусство",40322
58,"58_Декоративно-прикладное искусство",44345
72,"72_Декоративно-прикладное искусство",44812
64,"64_Декоративно-прикладное искусство",45297
144,"144_Декоративно-прикладное искусство",45448
156,"156_Декоративно-прикладное искусство",87877
143,"143_Декоративно-прикладное искусство",88465
45,"45_Компьютерный дизайн (комплексная  3-летняя программа)",39920
78,"78_Компьютерный дизайн (комплексная  3-летняя программа)",41738
1,"1_Изобразительное искусство (комплексная 4-летняя программа)",24715
134,"134_Изобразительное искусство",39504
137,"137_Изобразительное искусство",39509
28,"28_Изобразительное искусство",39531
137,"137_Изобразительное искусство",39534
45,"45_Изобразительное искусство",39914
45,"45_Изобразительное искусство",39916
45,"45_Изобразительное искусство",39918
801,"801_Изобразительное искусство",39955
801,"801_Изобразительное искусство",39956
801,"801_Изобразительное искусство",39959
141,"141_Изобразительное искусство",40002
136,"136_Изобразительное искусство",40031
136,"136_Изобразительное искусство",40048
54,"54_Изобразительное искусство",40352
28,"28_Изобразительное искусство",40369
28,"28_Изобразительное искусство",40439
152,"152_Изобразительное искусство",40622
152,"152_Изобразительное искусство",40639
112,"112_Изобразительное искусство",40687
121,"121_Изобразительное искусство",40780
121,"121_Изобразительное искусство",40814
51,"51_Изобразительное искусство",41141
27,"27_Изобразительное искусство",41364
109,"109_Изобразительное искусство",41393
109,"109_Изобразительное искусство",41408
109,"109_Изобразительное искусство",41415
27,"27_Изобразительное искусство",41455
27,"27_Изобразительное искусство",41465
110,"110_Изобразительное искусство",41574
78,"78_Изобразительное искусство",41673
89,"89_Изобразительное искусство",41844
29,"29_Изобразительное искусство",41890
29,"29_Изобразительное искусство",41907
48,"48_Изобразительное искусство",41939
48,"48_Изобразительное искусство",41945
29,"29_Изобразительное искусство",41958
154,"154_Изобразительное искусство",41973
154,"154_Изобразительное искусство",41977
154,"154_Изобразительное искусство",41982
801,"801_Изобразительное искусство",42037
801,"801_Изобразительное искусство",42043
801,"801_Изобразительное искусство",42048
118,"118_Изобразительное искусство",42084
148,"148_Изобразительное искусство",42153
145,"145_Изобразительное искусство",42409
145,"145_Изобразительное искусство",42411
129,"129_Изобразительное искусство",42558
34,"34_Изобразительное искусство",42712
135,"135_Изобразительное искусство",43991
58,"58_Изобразительное искусство",44080
58,"58_Изобразительное искусство",44342
99,"99_Изобразительное искусство",44371
72,"72_Изобразительное искусство",44825
72,"72_Изобразительное искусство",44836
64,"64_Изобразительное искусство",45262
64,"64_Изобразительное искусство",45263
64,"64_Изобразительное искусство",45269
64,"64_Изобразительное искусство",45282
144,"144_Изобразительное искусство",45451
144,"144_Изобразительное искусство",45452
144,"144_Изобразительное искусство",48405
92,"92_Изобразительное искусство",56775
92,"92_Изобразительное искусство",56782
92,"92_Изобразительное искусство",56794
6,"6_Изобразительное искусство",57162
6,"6_Изобразительное искусство",57408
6,"6_Изобразительное искусство",57492
64,"64_Изобразительное искусство",87954
121,"121_Изобразительное искусство",88069
29,"29_Изобразительное искусство",88148
112,"112_Изобразительное искусство",88246
99,"99_Изобразительное искусство",88270
109,"109_Изобразительное искусство",88433
143,"143_Изобразительное искусство",88466
99,"99_Изобразительное искусство",107400
99,"99_Изобразительное искусство",107534
100,"100_Изобразительное искусство",107563
99,"99_Изобразительное искусство",107566
129,"129_Изобразительное искусство",108079
141,"141_Изобразительное искусство",108381
141,"141_Изобразительное искусство",108383
64,"64_Изобразительное искусство",110142
118,"118_Изобразительное искусство",115124
99,"99_Изобразительное искусство",143895
148,"148_Изобразительное искусство",210153
42,"42_Изобразительное искусство",212211
92,"92_Изобразительное искусство",213485
141,"141_Изобразительное искусство",214297
141,"141_Изобразительное искусство",214303
141,"141_Изобразительное искусство",214304
27,"27_Компьютерная графика и анимация",41395
27,"27_Компьютерная графика и анимация",41484
78,"78_Компьютерная графика и анимация",88187
134,"134_Компьютерная графика и анимация",88424
109,"109_Художественная фотография",41459
78,"78_Художественная фотография",41752
78,"78_Художественная фотография",42516
78,"78_Художественная фотография",42520
78,"78_Художественная фотография",42522
1,"1_Академическое сольное пение (комплексная  5-летняя программа)",24254
1,"1_Академическое сольное пение (комплексная  5-летняя программа)",24277
67,"67_Академическое сольное пение (комплексная  5-летняя программа)",27280
67,"67_Академическое сольное пение (комплексная  7-летняя программа)",27285
76,"76_Академическое сольное пение (комплексная  7-летняя программа)",29759
16,"16_Академическое сольное пение",39205
16,"16_Академическое сольное пение",39206
20,"20_Академическое сольное пение",39327
25,"25_Академическое сольное пение",39328
20,"20_Академическое сольное пение",39348
82,"82_Академическое сольное пение",39477
82,"82_Академическое сольное пение",39488
105,"105_Академическое сольное пение",39520
105,"105_Академическое сольное пение",39521
31,"31_Академическое сольное пение",39550
31,"31_Академическое сольное пение",39552
42,"42_Академическое сольное пение",39610
42,"42_Академическое сольное пение",39618
4,"4_Академическое сольное пение",39630
121,"121_Академическое сольное пение",39722
123,"123_Академическое сольное пение",39726
121,"121_Академическое сольное пение",39746
80,"80_Академическое сольное пение",39791
88,"88_Академическое сольное пение",39841
88,"88_Академическое сольное пение",39844
45,"45_Академическое сольное пение",39895
45,"45_Академическое сольное пение",39897
19,"19_Академическое сольное пение",39935
95,"95_Академическое сольное пение",39988
95,"95_Академическое сольное пение",39992
56,"56_Академическое сольное пение",40040
56,"56_Академическое сольное пение",40044
29,"29_Академическое сольное пение",40052
29,"29_Академическое сольное пение",40054
14,"14_Академическое сольное пение",40093
14,"14_Академическое сольное пение",40094
81,"81_Академическое сольное пение",40169
136,"136_Академическое сольное пение",40216
136,"136_Академическое сольное пение",40237
32,"32_Академическое сольное пение",40248
103,"103_Академическое сольное пение",40323
103,"103_Академическое сольное пение",40330
26,"26_Академическое сольное пение",40394
130,"130_Академическое сольное пение",40415
130,"130_Академическое сольное пение",40423
152,"152_Академическое сольное пение",40457
152,"152_Академическое сольное пение",40463
91,"91_Академическое сольное пение",40471
91,"91_Академическое сольное пение",40475
114,"114_Академическое сольное пение",40491
114,"114_Академическое сольное пение",40508
50,"50_Академическое сольное пение",40729
116,"116_Академическое сольное пение",40970
76,"76_Академическое сольное пение",40974
116,"116_Академическое сольное пение",40980
32,"32_Академическое сольное пение",40981
146,"146_Академическое сольное пение",40987
32,"32_Академическое сольное пение",40995
43,"43_Академическое сольное пение",41077
13,"13_Академическое сольное пение",41114
125,"125_Академическое сольное пение",41169
125,"125_Академическое сольное пение",41182
132,"132_Академическое сольное пение",41193
109,"109_Академическое сольное пение",41195
132,"132_Академическое сольное пение",41204
109,"109_Академическое сольное пение",41215
52,"52_Академическое сольное пение",41216
52,"52_Академическое сольное пение",41226
51,"51_Академическое сольное пение",41254
51,"51_Академическое сольное пение",41262
132,"132_Академическое сольное пение",41340
11,"11_Академическое сольное пение",41451
11,"11_Академическое сольное пение",41456
93,"93_Академическое сольное пение",41501
93,"93_Академическое сольное пение",41506
110,"110_Академическое сольное пение",41524
110,"110_Академическое сольное пение",41527
154,"154_Академическое сольное пение",41634
128,"128_Академическое сольное пение",41692
128,"128_Академическое сольное пение",41695
10,"10_Академическое сольное пение",41719
10,"10_Академическое сольное пение",41732
154,"154_Академическое сольное пение",41751
803,"803_Академическое сольное пение",41785
19,"19_Академическое сольное пение",41817
803,"803_Академическое сольное пение",41934
89,"89_Академическое сольное пение",41948
89,"89_Академическое сольное пение",41955
801,"801_Академическое сольное пение",42016
801,"801_Академическое сольное пение",42019
21,"21_Академическое сольное пение",42070
21,"21_Академическое сольное пение",42073
77,"77_Академическое сольное пение",42154
53,"53_Академическое сольное пение",42167
78,"78_Академическое сольное пение",42186
803,"803_Академическое сольное пение",42419
803,"803_Академическое сольное пение",42420
162,"162_Академическое сольное пение",42612
35,"35_Академическое сольное пение",42742
117,"117_Академическое сольное пение",42781
117,"117_Академическое сольное пение",42782
35,"35_Академическое сольное пение",42802
38,"38_Академическое сольное пение",43051
38,"38_Академическое сольное пение",43054
162,"162_Академическое сольное пение",43580
162,"162_Академическое сольное пение",43583
162,"162_Академическое сольное пение",43897
99,"99_Академическое сольное пение",44362
59,"59_Академическое сольное пение",44930
59,"59_Академическое сольное пение",44931
67,"67_Академическое сольное пение",45050
67,"67_Академическое сольное пение",45054
102,"102_Академическое сольное пение",45167
102,"102_Академическое сольное пение",45168
22,"22_Академическое сольное пение",45366
22,"22_Академическое сольное пение",45367
119,"119_Академическое сольное пение",45423
119,"119_Академическое сольное пение",45424
144,"144_Академическое сольное пение",45437
144,"144_Академическое сольное пение",45438
104,"104_Академическое сольное пение",50994
104,"104_Академическое сольное пение",51015
104,"104_Академическое сольное пение",51048
39,"39_Академическое сольное пение",54051
162,"162_Академическое сольное пение",55966
162,"162_Академическое сольное пение",56485
92,"92_Академическое сольное пение",56737
92,"92_Академическое сольное пение",56743
804,"804_Академическое сольное пение",62902
79,"79_Академическое сольное пение",64147
79,"79_Академическое сольное пение",64195
79,"79_Академическое сольное пение",64279
112,"112_Академическое сольное пение",87899
112,"112_Академическое сольное пение",87900
122,"122_Академическое сольное пение",87936
122,"122_Академическое сольное пение",87940
44,"44_Академическое сольное пение",88014
121,"121_Академическое сольное пение",88025
146,"146_Академическое сольное пение",88096
146,"146_Академическое сольное пение",88098
103,"103_Академическое сольное пение",88102
29,"29_Академическое сольное пение",88143
130,"130_Академическое сольное пение",88160
130,"130_Академическое сольное пение",88161
125,"125_Академическое сольное пение",88214
125,"125_Академическое сольное пение",88215
103,"103_Академическое сольное пение",88247
99,"99_Академическое сольное пение",88271
31,"31_Академическое сольное пение",88336
31,"31_Академическое сольное пение",88337
10,"10_Академическое сольное пение",88364
804,"804_Академическое сольное пение",88379
109,"109_Академическое сольное пение",88431
109,"109_Академическое сольное пение",88432
122,"122_Академическое сольное пение",88455
122,"122_Академическое сольное пение",88456
143,"143_Академическое сольное пение",88469
35,"35_Академическое сольное пение",102716
77,"77_Академическое сольное пение",107896
143,"143_Академическое сольное пение",107906
130,"130_Академическое сольное пение",107956
130,"130_Академическое сольное пение",107957
91,"91_Академическое сольное пение",108339
121,"121_Академическое сольное пение",142559
13,"13_Академическое сольное пение",210825
38,"38_Академическое сольное пение",211550
143,"143_Академическое сольное пение",213428
38,"38_Академическое сольное пение",214251
59,"59_Народное сольное пение",26192
59,"59_Народное сольное пение",26262
121,"121_Народное сольное пение",39749
121,"121_Народное сольное пение",39751
45,"45_Народное сольное пение",39925
45,"45_Народное сольное пение",39927
81,"81_Народное сольное пение",40172
81,"81_Народное сольное пение",40175
136,"136_Народное сольное пение",40278
12,"12_Народное сольное пение",40380
12,"12_Народное сольное пение",40384
132,"132_Хоровое пение",41316
130,"130_Народное сольное пение",40428
130,"130_Народное сольное пение",40436
91,"91_Народное сольное пение",40515
91,"91_Народное сольное пение",40529
16,"16_Народное сольное пение",40595
16,"16_Народное сольное пение",40596
112,"112_Народное сольное пение",40677
802,"802_Народное сольное пение",41044
802,"802_Народное сольное пение",41049
125,"125_Народное сольное пение",41194
125,"125_Народное сольное пение",41207
51,"51_Народное сольное пение",41276
